2023-09-22 19:30:00,816 Starting training...
2023-09-22 19:36:25,032 Epoch: 7, Batch: 6, Loss: [6.298155494732782e-05, 1.0]
2023-09-22 19:36:27,823 Epoch: 7, Batch: 7, Loss: [5.75342824049585e-07, 1.0]
2023-09-22 19:36:30,640 Epoch: 7, Batch: 8, Loss: [1.1112140327895759e-06, 1.0]
2023-09-22 19:36:33,435 Epoch: 7, Batch: 9, Loss: [0.0003081966133322567, 1.0]
2023-09-22 19:36:36,203 Epoch: 7, Batch: 10, Loss: [4.418999832722648e-09, 1.0]
2023-09-22 19:36:39,107 Epoch: 7, Batch: 11, Loss: [4.138362896810577e-08, 1.0]
2023-09-22 19:36:41,957 Epoch: 7, Batch: 12, Loss: [0.02021426521241665, 1.0]
2023-09-22 19:36:44,825 Epoch: 7, Batch: 13, Loss: [1.2500957602412655e-08, 1.0]
2023-09-22 19:36:47,659 Epoch: 7, Batch: 14, Loss: [4.1790357840909564e-08, 1.0]
2023-09-22 19:36:50,536 Epoch: 7, Batch: 15, Loss: [1.0141364015225918e-07, 1.0]
2023-09-22 19:36:53,372 Epoch: 7, Batch: 16, Loss: [9.591599514635618e-09, 1.0]
2023-09-22 19:36:58,670 Epoch: 8, Batch: 0, Loss: [5.4429847295978107e-08, 1.0]
2023-09-22 19:37:01,682 Epoch: 8, Batch: 1, Loss: [5.500586439666222e-07, 1.0]
2023-09-22 19:37:04,635 Epoch: 8, Batch: 2, Loss: [6.36854527447106e-11, 1.0]
2023-09-22 19:37:07,575 Epoch: 8, Batch: 3, Loss: [9.075925788692984e-09, 1.0]
2023-09-22 19:37:10,467 Epoch: 8, Batch: 4, Loss: [6.589299061943166e-08, 1.0]
2023-09-22 19:37:13,521 Epoch: 8, Batch: 5, Loss: [0.23659221827983856, 0.96875]
2023-09-22 19:37:16,390 Epoch: 8, Batch: 6, Loss: [2.0545134482574667e-09, 1.0]
2023-09-22 19:37:19,243 Epoch: 8, Batch: 7, Loss: [5.18917750014225e-06, 1.0]
2023-09-22 19:37:22,108 Epoch: 8, Batch: 8, Loss: [1.2288867701215622e-09, 1.0]
2023-09-22 19:37:24,962 Epoch: 8, Batch: 9, Loss: [4.6723727109565516e-08, 1.0]
2023-09-22 19:37:27,876 Epoch: 8, Batch: 10, Loss: [4.634231117961463e-06, 1.0]
2023-09-22 19:37:30,702 Epoch: 8, Batch: 11, Loss: [2.7381609015719732e-06, 1.0]
2023-09-22 19:37:33,553 Epoch: 8, Batch: 12, Loss: [8.075854793787585e-07, 1.0]
2023-09-22 19:37:36,442 Epoch: 8, Batch: 13, Loss: [0.027071090415120125, 0.96875]
2023-09-22 19:37:39,275 Epoch: 8, Batch: 14, Loss: [0.0023567923344671726, 1.0]
2023-09-22 19:37:42,021 Epoch: 8, Batch: 15, Loss: [0.0017940179677680135, 1.0]
2023-09-22 19:37:44,866 Epoch: 8, Batch: 16, Loss: [8.664239317113243e-07, 1.0]
2023-09-22 19:37:50,095 Epoch: 9, Batch: 0, Loss: [1.593458875959186e-08, 1.0]
2023-09-22 19:37:52,914 Epoch: 9, Batch: 1, Loss: [8.165894627154557e-09, 1.0]
2023-09-22 19:37:55,684 Epoch: 9, Batch: 2, Loss: [2.1912464944762178e-06, 1.0]
2023-09-22 19:37:58,519 Epoch: 9, Batch: 3, Loss: [3.538774551170576e-10, 1.0]
2023-09-22 19:38:01,363 Epoch: 9, Batch: 4, Loss: [9.53529255554031e-10, 1.0]
2023-09-22 19:38:04,215 Epoch: 9, Batch: 5, Loss: [8.902825143763948e-10, 1.0]
2023-09-22 19:38:07,046 Epoch: 9, Batch: 6, Loss: [1.771717217380342e-10, 1.0]
2023-09-22 19:38:09,920 Epoch: 9, Batch: 7, Loss: [4.172456868900554e-08, 1.0]
2023-09-22 19:38:12,810 Epoch: 9, Batch: 8, Loss: [1.1447151138099798e-07, 1.0]
2023-09-22 19:38:15,658 Epoch: 9, Batch: 9, Loss: [3.237846613046713e-07, 1.0]
2023-09-22 19:38:18,471 Epoch: 9, Batch: 10, Loss: [0.00015345944848377258, 1.0]
2023-09-22 19:38:21,264 Epoch: 9, Batch: 11, Loss: [7.809018143234425e-07, 1.0]
2023-09-22 19:38:24,080 Epoch: 9, Batch: 12, Loss: [3.916106994239499e-09, 1.0]
2023-09-22 19:38:26,873 Epoch: 9, Batch: 13, Loss: [2.4448800672871585e-07, 1.0]
2023-09-22 19:38:29,731 Epoch: 9, Batch: 14, Loss: [2.943549475276086e-07, 1.0]
2023-09-22 19:38:32,512 Epoch: 9, Batch: 15, Loss: [3.460472441929596e-07, 1.0]
2023-09-22 19:38:35,383 Epoch: 9, Batch: 16, Loss: [3.6903844602420577e-07, 1.0]
2023-09-22 19:38:39,589 Epoch: 9, Validation Loss: 4.001100933237467e-06
Epoch: 9, Training Loss: [3.6903844602420577e-07, 1.0], Validation Loss: 4.001100933237467e-06
2023-09-22 19:40:02,905 Starting training...
2023-09-22 19:40:06,585 Epoch: 0, Batch: 0, Loss: [0.7624653577804565, 0.4375]
2023-09-22 19:40:09,614 Epoch: 0, Batch: 1, Loss: [68.51609802246094, 0.59375]
2023-09-22 19:40:12,609 Epoch: 0, Batch: 2, Loss: [1.9217218160629272, 0.375]
2023-09-22 19:40:15,538 Epoch: 0, Batch: 3, Loss: [0.0008422256796620786, 1.0]
2023-09-22 19:40:18,383 Epoch: 0, Batch: 4, Loss: [0.5002265572547913, 0.96875]
2023-09-22 19:40:21,519 Epoch: 0, Batch: 5, Loss: [0.009090092964470387, 1.0]
2023-09-22 19:40:24,471 Epoch: 0, Batch: 6, Loss: [0.04570824280381203, 0.96875]
2023-09-22 19:40:27,381 Epoch: 0, Batch: 7, Loss: [0.18759790062904358, 0.96875]
2023-09-22 19:40:30,309 Epoch: 0, Batch: 8, Loss: [0.0013367201900109649, 1.0]
2023-09-22 19:40:33,232 Epoch: 0, Batch: 9, Loss: [0.0011858729412779212, 1.0]
2023-09-22 19:40:36,229 Epoch: 0, Batch: 10, Loss: [2.4914999812608585e-05, 1.0]
2023-09-22 19:40:39,054 Epoch: 0, Batch: 11, Loss: [3.6708852348965593e-06, 1.0]
2023-09-22 19:40:41,932 Epoch: 0, Batch: 12, Loss: [0.005697911139577627, 1.0]
2023-09-22 19:40:44,901 Epoch: 0, Batch: 13, Loss: [1.518364911134995e-06, 1.0]
2023-09-22 19:40:47,754 Epoch: 0, Batch: 14, Loss: [1.4327570170280524e-05, 1.0]
2023-09-22 19:40:50,586 Epoch: 0, Batch: 15, Loss: [2.0840792785747908e-05, 1.0]
2023-09-22 19:40:53,339 Epoch: 0, Batch: 16, Loss: [4.404204290153757e-08, 1.0]
2023-09-22 19:41:00,520 Epoch: 1, Batch: 0, Loss: [0.00020717216830234975, 1.0]
2023-09-22 19:41:03,344 Epoch: 1, Batch: 1, Loss: [4.839905886910856e-05, 1.0]
2023-09-22 19:41:06,199 Epoch: 1, Batch: 2, Loss: [3.413402396290621e-07, 1.0]
2023-09-22 19:41:08,993 Epoch: 1, Batch: 3, Loss: [1.3198950910009444e-05, 1.0]
2023-09-22 19:41:11,784 Epoch: 1, Batch: 4, Loss: [1.3140486920804051e-08, 1.0]
2023-09-22 19:41:14,641 Epoch: 1, Batch: 5, Loss: [5.464640707941726e-06, 1.0]
2023-09-22 19:41:17,389 Epoch: 1, Batch: 6, Loss: [4.294216341804713e-05, 1.0]
2023-09-22 19:41:20,269 Epoch: 1, Batch: 7, Loss: [3.0339592171912955e-07, 1.0]
2023-09-22 19:41:23,035 Epoch: 1, Batch: 8, Loss: [1.9213372070225887e-05, 1.0]
2023-09-22 19:41:25,905 Epoch: 1, Batch: 9, Loss: [0.00014686817303299904, 1.0]
2023-09-22 19:41:28,711 Epoch: 1, Batch: 10, Loss: [3.931839387405489e-07, 1.0]
2023-09-22 19:41:31,593 Epoch: 1, Batch: 11, Loss: [6.732280439791793e-07, 1.0]
2023-09-22 19:41:34,353 Epoch: 1, Batch: 12, Loss: [3.611097554312437e-08, 1.0]
2023-09-22 19:41:37,122 Epoch: 1, Batch: 13, Loss: [0.3023536205291748, 0.96875]
2023-09-22 19:41:39,862 Epoch: 1, Batch: 14, Loss: [1.2971269825357012e-05, 1.0]
2023-09-22 19:41:42,742 Epoch: 1, Batch: 15, Loss: [0.12682345509529114, 0.96875]
